Date,Brand,Title,price_full,price_soft,priceoff,Rating,Review Count
17/08/2024,Etat Pur,Etat Pur Hydratante - Gel Creme Hidratante Facial 40ml,"179,90","135,90",24,"50,00",1
17/08/2024,Libbs,Umiditá Facial FPS25 - Creme Gel Hidratante 50ml,"99,90","72,99",27,"50,00",4
17/08/2024,Esthederm,Intensive Retinol - Creme Redutor de Linhas Facial 50ml,"539,90","511,90",5,"50,00",6
17/08/2024,Creamy,Calming Cream - Creme Hidratante Facial 40g,"80,00","54,20",32,"43,00",16
17/08/2024,Rugol,Creme de Beleza - Creme Hidratante Facial 50g,"36,54","34,94",4,"0,00",0
17/08/2024,Beleza na Web,Kit Elseve L'Oréal Paris Cachos Longos dos Sonhos & Revitalift Facial (2 Produtos),"104,80","100,80",4,"0,00",0
17/08/2024,Aromá,Creme Hidratante Facial de Rápida Absorção 50 g,"79,99","49,99",38,"0,00",0
17/08/2024,Samana,Ozone Dermic - Creme de Massagem Facial 100g,"151,90","141,90",7,"0,00",0
17/08/2024,Payot,- Creme Hidratante Facial Noturno 45g,"98,90","83,90",15,"0,00",0
17/08/2024,Cosmobeauty,Melannox Premium -  Creme Uniformizador Facial 30g,"309,00","270,99",12,"0,00",0
17/08/2024,Peel Line,Esfoliactpeel - Creme Esfoliante Facial 150g,"64,09","39,80",38,"0,00",0
17/08/2024,Océane,AHA BHA Facial Treatment - Creme Rejuvenescedor Facial 50ml,"118,90","83,90",29,"0,00",0
17/08/2024,Bel Col,Solectiv Creme Antirrugas FPS 40 - Protetor Solar Facial 120g,"223,65","190,10",15,"0,00",0
17/08/2024,Helene Deon,Creme Clareador Facial 30g,"119,90","109,90",8,"0,00",0
17/08/2024,TheraSkin,Klassis R - Gel Creme Clareador Facial 30g,"284,50","189,90",33,"0,00",0
17/08/2024,Phállebeauty,Nutrição Intensiva - Gel Creme Hidratante Facial Antioleosidade 35g,"26,90","23,90",11,"0,00",0
17/08/2024,Davene,Creme de Aveia Suave FPS 15 - Hidratante Facial 50g,"28,66","27,45",4,"0,00",0
17/08/2024,Ruby Rose,Melu Coco - Creme Hidratante Facial 40g,"24,00","14,00",42,"0,00",0
17/08/2024,Phállebeauty,Regenerador Noturno - Gel Creme Hidratante Facial Antioleosidade 35g,"26,90","23,90",11,"50,00",1
17/08/2024,Bel Col,AminoDerme Night Cream - Creme Hidratante Facial 50g,"177,45","159,70",10,"0,00",0
17/08/2024,Depil Bella,Limpeza da Pele - Creme Esfoliante Facial 50g,"21,16","18,40",13,"0,00",0
17/08/2024,Bel Col,Revigor - Creme Firmador Facial 60g,"240,45","204,38",15,"0,00",0
17/08/2024,Bel Col,AminoDerme Day Cream - Creme Hidratante Facial 50g,"166,77","149,99",10,"0,00",0
17/08/2024,Helene Deon,Creme Clareador Facial 50g,"129,90","109,90",15,"0,00",0
17/08/2024,Davene,Creme de Aveia Original FPS 15 - Hidratante Facial 50g,"28,66","27,45",4,"0,00",0
17/08/2024,Rugol,Creme Hidratante Facial Alface Brilhante Normal e Seca 50g,"38,65","36,94",4,"0,00",0
17/08/2024,Farfalla Cosméticos,Hyallu Intensità - Gel Creme Noturno Facial 50g,"190,00","114,00",40,"0,00",0
17/08/2024,Samana,Creme Gel Facial Colágeno Linea Derm Antirrugas 30g - Normal,"182,90","119,90",34,"0,00",0
17/08/2024,Phállebeauty,Antiacne - Gel Creme Secativo Facial 15g,"31,90","28,90",9,"0,00",0
17/08/2024,Esthederm,Kit Facial Excellage - Creme Anti-Idade 15ml e Sérum 30ml,"1599,90","1359,90",15,"0,00",0
17/08/2024,Face It,K Vegan Beauty Kit Vitamina C + Creme para Área dos Olhos Cafeína + Sérum Facial Retinol,"100,00","79,90",20,"0,00",0
17/08/2024,Cosmobeauty,Restyderm Creme de Hidratação Facial Corporal Lábios e Áreas Sensíveis 50g,"359,00","214,90",40,"0,00",0
17/08/2024,Natupele,Dmae Facial - Creme Hidratante Anti-idade 30g,"250,94","228,13",9,"0,00",0
17/08/2024,Face It,Vegan Beauty Kit Vitamina C + Soro Natural de Niacinamida + Ácido Hialuronico + Sérum Facial Retinol + Creme para Área dos Olhos Cafeína,"200,00","169,90",15,"0,00",0
